Date, Close, Open, High, Low, ZigZag Value, ZigZag Length, ZigZag Pips, ZigZag Deg, Volumes
2010.01.05 02:00, 1.44740, 1.44740, 1.44830, 1.44720, 1.44830, 352.00000, 226, 32.70, 365.00000
2010.01.06 02:05, 1.42930, 1.43130, 1.43130, 1.42830, 1.42830, 289.00000, -200, 34.68, 485.00000
2010.01.06 19:30, 1.44430, 1.44250, 1.44470, 1.44250, 1.44470, 209.00000, 164, 38.12, 545.00000
2010.01.08 00:55, 1.42940, 1.42930, 1.42940, 1.42880, 1.42880, 351.00000, -159, 24.37, 215.00000
2010.01.08 02:40, 1.43280, 1.43300, 1.43340, 1.43270, 1.43340, 21.00000, 46, 65.46, 245.00000
2010.01.08 08:20, 1.42750, 1.42690, 1.42770, 1.42630, 1.42630, 68.00000, -71, 46.24, 315.00000
2010.01.11 10:50, 1.45480, 1.45370, 1.45560, 1.45360, 1.45560, 319.00000, 293, 42.57, 455.00000
2010.01.11 21:15, 1.44610, 1.44640, 1.44690, 1.44530, 1.44530, 125.00000, -103, 39.49, 495.00000
2010.01.12 10:50, 1.45380, 1.45420, 1.45460, 1.45370, 1.45460, 163.00000, 93, 29.71, 325.00000
2010.01.12 20:20, 1.44590, 1.44620, 1.44630, 1.44560, 1.44560, 114.00000, -90, 38.29, 175.00000
2010.01.13 07:25, 1.45740, 1.45720, 1.45790, 1.45700, 1.45790, 133.00000, 123, 42.76, 345.00000
2010.01.14 00:55, 1.45520, 1.45460, 1.45550, 1.45460, 1.45550, 210.00000, -24, 6.52, 245.00000
2010.01.14 02:20, 1.45460, 1.45460, 1.45550, 1.45440, 1.45550, 17.00000, 0, 0.00, 325.00000
2010.01.17 19:55, 1.43440, 1.43410, 1.43460, 1.43350, 1.43350, 498.00000, -220, 23.83, 335.00000
2010.01.17 20:40, 1.43420, 1.43360, 1.43440, 1.43350, 1.43350, 9.00000, 0, 0.00, 185.00000
2010.01.18 19:10, 1.44090, 1.44100, 1.44140, 1.44090, 1.44140, 268.00000, 79, 16.42, 175.00000
2010.01.20 12:00, 1.40850, 1.40920, 1.40950, 1.40800, 1.40800, 489.00000, -334, 34.33, 375.00000
2010.01.20 20:30, 1.41320, 1.41320, 1.41370, 1.41290, 1.41370, 102.00000, 57, 29.20, 245.00000
2010.01.21 05:50, 1.40370, 1.40380, 1.40390, 1.40300, 1.40300, 112.00000, -107, 43.69, 255.00000
2010.01.22 04:45, 1.41600, 1.41530, 1.41640, 1.41480, 1.41640, 275.00000, 134, 25.98, 355.00000
2010.01.22 10:10, 1.41050, 1.41030, 1.41060, 1.40860, 1.40860, 65.00000, -78, 50.19, 545.00000
2010.01.22 12:25, 1.41780, 1.41710, 1.41820, 1.41700, 1.41820, 27.00000, 96, 74.29, 235.00000
2010.01.25 03:10, 1.41310, 1.41360, 1.41400, 1.41300, 1.41300, 175.00000, -52, 16.55, 315.00000
2010.01.25 06:00, 1.41900, 1.41910, 1.41940, 1.41900, 1.41940, 34.00000, 64, 62.02, 175.00000
2010.01.25 10:05, 1.41380, 1.41440, 1.41440, 1.41280, 1.41280, 49.00000, -66, 53.41, 385.00000
2010.01.25 20:35, 1.41770, 1.41720, 1.41790, 1.41720, 1.41790, 125.00000, 51, 22.20, 124.00000
2010.01.27 03:45, 1.40230, 1.40350, 1.40380, 1.40210, 1.40210, 374.00000, -158, 22.90, 325.00000
2010.01.27 07:40, 1.40820, 1.40820, 1.40870, 1.40810, 1.40870, 47.00000, 66, 54.54, 225.00000
2010.01.27 20:45, 1.39640, 1.39940, 1.39940, 1.39400, 1.39400, 157.00000, -147, 43.12, 1575.00000
2010.01.28 03:05, 1.40490, 1.40420, 1.40510, 1.40410, 1.40510, 76.00000, 111, 55.60, 355.00000
2010.01.28 20:15, 1.39210, 1.39210, 1.39220, 1.39120, 1.39120, 206.00000, -139, 34.01, 325.00000
2010.01.29 04:00, 1.39840, 1.39780, 1.39870, 1.39750, 1.39870, 93.00000, 75, 38.88, 345.00000
2010.01.31 21:10, 1.38550, 1.38630, 1.38630, 1.38520, 1.38520, 206.00000, -135, 33.24, 265.00000
2010.02.01 16:05, 1.39310, 1.39350, 1.39380, 1.39300, 1.39380, 227.00000, 86, 20.75, 185.00000
2010.02.01 22:40, 1.38870, 1.38930, 1.38950, 1.38860, 1.38860, 79.00000, -52, 33.35, 205.00000
2010.02.01 23:25, 1.38950, 1.38870, 1.38950, 1.38860, 1.38860, 9.00000, 0, 0.00, 165.00000
2010.02.02 18:35, 1.39730, 1.39740, 1.39760, 1.39730, 1.39760, 230.00000, 90, 21.37, 75.00000
2010.02.02 21:30, 1.39490, 1.39500, 1.39500, 1.39460, 1.39460, 35.00000, -30, 40.60, 135.00000
2010.02.03 04:25, 1.40220, 1.40220, 1.40250, 1.40190, 1.40250, 83.00000, 79, 43.59, 265.00000
2010.02.05 03:30, 1.36660, 1.36540, 1.36670, 1.36480, 1.36480, 565.00000, -377, 33.71, 445.00000
2010.02.05 08:55, 1.37310, 1.37380, 1.37420, 1.37300, 1.37420, 65.00000, 94, 55.34, 515.00000
2010.02.05 13:55, 1.35880, 1.35920, 1.35950, 1.35850, 1.35850, 60.00000, -157, 69.08, 305.00000
2010.02.08 04:20, 1.37060, 1.37090, 1.37130, 1.37050, 1.37130, 173.00000, 128, 36.50, 215.00000
2010.02.08 17:30, 1.36470, 1.36450, 1.36470, 1.36430, 1.36430, 158.00000, -70, 23.90, 104.00000
2010.02.08 17:45, 1.36440, 1.36460, 1.36460, 1.36430, 1.36430, 3.00000, 0, 0.00, 85.00000
2010.02.09 07:45, 1.37620, 1.37640, 1.37730, 1.37610, 1.37730, 168.00000, 130, 37.73, 365.00000
2010.02.09 11:30, 1.37460, 1.36980, 1.37470, 1.36920, 1.36920, 45.00000, -81, 60.95, 1125.00000
2010.02.09 12:20, 1.38260, 1.38360, 1.38390, 1.38250, 1.38390, 10.00000, 147, 86.11, 245.00000
2010.02.10 00:40, 1.37370, 1.37430, 1.37430, 1.37340, 1.37340, 148.00000, -105, 35.35, 265.00000
2010.02.10 06:20, 1.37990, 1.38100, 1.38120, 1.37970, 1.38120, 68.00000, 78, 48.92, 465.00000
2010.02.10 10:25, 1.36820, 1.36900, 1.36900, 1.36770, 1.36770, 49.00000, -135, 70.05, 425.00000
2010.02.11 00:35, 1.37970, 1.37960, 1.38010, 1.37950, 1.38010, 170.00000, 124, 36.11, 195.00000
2010.02.12 06:25, 1.35330, 1.35400, 1.35400, 1.35310, 1.35310, 358.00000, -270, 37.02, 195.00000
2010.02.15 01:10, 1.35820, 1.35870, 1.35870, 1.35790, 1.35790, 225.00000, 48, 12.04, 215.00000
2010.02.16 23:55, 1.37790, 1.37770, 1.37820, 1.37760, 1.37820, 560.00000, 203, 19.93, 165.00000
2010.02.17 02:20, 1.37460, 1.37390, 1.37480, 1.37380, 1.37380, 29.00000, -44, 56.61, 215.00000
2010.02.17 03:05, 1.37840, 1.37750, 1.37880, 1.37740, 1.37880, 9.00000, 50, 79.80, 335.00000
2010.02.17 03:45, 1.37860, 1.37840, 1.37880, 1.37820, 1.37880, 8.00000, 0, 0.00, 225.00000
2010.02.18 02:45, 1.35470, 1.35460, 1.35480, 1.35390, 1.35390, 276.00000, -249, 42.06, 355.00000
